"year","zone","domain","measure","value"
"2016","S01008686","Access To Services","Rank",5151
"2016","S01008686","SIMD","Rank",1706
"2016","S01008686","Crime","Rank",1545
"2016","S01008686","Employment","Rank",1454
"2016","S01008686","Income","Rank",1611
"2016","S01008686","Health","Rank",1780
"2016","S01008686","Education Skills And Training","Rank",2514
"2016","S01008686","Housing","Rank",305
"2016","S01008686","SIMD","Decile",3
"2016","S01008686","Crime","Decile",3
"2016","S01008686","Health","Decile",3
"2016","S01008686","Access To Services","Decile",8
"2016","S01008686","Housing","Decile",1
"2016","S01008686","Education Skills And Training","Decile",4
"2016","S01008686","Income","Decile",3
"2016","S01008686","Employment","Decile",3
"2016","S01008686","Education Skills And Training","Vigintile",8
"2016","S01008686","Employment","Vigintile",5
"2016","S01008686","Health","Vigintile",6
"2016","S01008686","Housing","Vigintile",1
"2016","S01008686","Access To Services","Vigintile",15
"2016","S01008686","Crime","Vigintile",5
"2016","S01008686","Income","Vigintile",5
"2016","S01008686","SIMD","Vigintile",5
"2016","S01008686","Housing","Quintile",1
"2016","S01008686","Health","Quintile",2
"2016","S01008686","Income","Quintile",2
"2016","S01008686","Education Skills And Training","Quintile",2
"2016","S01008686","Employment","Quintile",2
"2016","S01008686","Crime","Quintile",2
"2016","S01008686","SIMD","Quintile",2
"2016","S01008686","Access To Services","Quintile",4
"2016","S01008687","Education Skills And Training","Rank",458
"2016","S01008687","Employment","Rank",4209
"2016","S01008687","Health","Rank",5442
"2016","S01008687","Housing","Rank",37
"2016","S01008687","Access To Services","Rank",2406
"2016","S01008687","Crime","Rank",2898
"2016","S01008687","Income","Rank",4236
"2016","S01008687","SIMD","Rank",2851
"2016","S01008687","Income","Decile",7
"2016","S01008687","Health","Decile",8
"2016","S01008687","Housing","Decile",1
"2016","S01008687","Access To Services","Decile",4
"2016","S01008687","SIMD","Decile",5
"2016","S01008687","Crime","Decile",5
"2016","S01008687","Education Skills And Training","Decile",1
"2016","S01008687","Employment","Decile",7
"2016","S01008687","Education Skills And Training","Vigintile",2
"2016","S01008687","Employment","Vigintile",13
